gene_name,insertion_index_score,Log_likelihood_ratio,essential,non-essential,unclear
thrL,0.393939394,31.43105904,FALSE,TRUE,FALSE
thrA,0.219244823,17.2007822,FALSE,TRUE,FALSE
thrB,0.265809218,21.23454858,FALSE,TRUE,FALSE
thrC,0.205905206,15.99492449,FALSE,TRUE,FALSE
yaaX,0.225589226,17.76550733,FALSE,TRUE,FALSE
yaaA,0.208494208,16.23102647,FALSE,TRUE,FALSE
yaaJ,0.238993711,18.9417935,FALSE,TRUE,FALSE
talB,0.259958071,20.74052204,FALSE,TRUE,FALSE
mog,0.239795918,19.01150555,FALSE,TRUE,FALSE
satP,0.239858907,19.01697618,FALSE,TRUE,FALSE
yaaW,0.219887955,17.25827542,FALSE,TRUE,FALSE
yaaI,0.261728395,20.89034158,FALSE,TRUE,FALSE
dnaK,0.053208138,-2.006528749,FALSE,FALSE,TRUE
dnaJ,0.224580018,17.67603387,FALSE,TRUE,FALSE
insL1,0.281221923,22.52088792,FALSE,TRUE,FALSE
mokC,0.438095238,34.75087305,FALSE,TRUE,FALSE
hokC,0.359477124,28.78295969,FALSE,TRUE,FALSE
nhaA,0.285347044,22.86170412,FALSE,TRUE,FALSE
nhaR,0.270419426,21.62153446,FALSE,TRUE,FALSE
insB1,0.357142857,28.60151715,FALSE,TRUE,FALSE
insA,0.311594203,24.99941682,FALSE,TRUE,FALSE
rpsT,0,-172.1619602,TRUE,FALSE,FALSE
yaaY,0.109589041,6.114527671,FALSE,TRUE,FALSE
ribF,0.005307856,-20.0930286,TRUE,FALSE,FALSE
ileS,0.002484913,-25.28072825,TRUE,FALSE,FALSE
lspA,0.012121212,-14.22682379,TRUE,FALSE,FALSE
fkpB,0.113333333,6.558680429,FALSE,TRUE,FALSE
ispH,0.008412198,-16.86290727,TRUE,FALSE,FALSE
rihC,0.228415301,18.01535826,FALSE,TRUE,FALSE
dapB,0.001216545,-30.08042176,TRUE,FALSE,FALSE
carA,0.17232376,12.82687806,FALSE,TRUE,FALSE
carB,0.205462446,15.95444334,FALSE,TRUE,FALSE
caiF,0.54040404,42.20290527,FALSE,TRUE,FALSE
caiE,0.248730964,19.78306978,FALSE,TRUE,FALSE
caiD,0.281170483,22.51662907,FALSE,TRUE,FALSE
caiC,0.27027027,21.60904459,FALSE,TRUE,FALSE
caiB,0.218390805,17.12434865,FALSE,TRUE,FALSE
caiA,0.186351706,14.17598126,FALSE,TRUE,FALSE
caiT,0.258745875,20.63775923,FALSE,TRUE,FALSE
fixA,0.246433204,19.58549287,FALSE,TRUE,FALSE
fixB,0.174097665,12.99976071,FALSE,TRUE,FALSE
fixC,0.177156177,13.29623455,FALSE,TRUE,FALSE
fixX,0.21875,17.15650844,FALSE,TRUE,FALSE
yaaU,0.211711712,16.52302544,FALSE,TRUE,FALSE
kefF,0.256120527,20.4146982,FALSE,TRUE,FALSE
kefC,0.198067633,15.27369615,FALSE,TRUE,FALSE
folA,0.004166667,-21.76194665,TRUE,FALSE,FALSE
apaH,0.215895611,16.90044942,FALSE,TRUE,FALSE
apaG,0.285714286,22.89197793,FALSE,TRUE,FALSE
rsmA,0.181265207,13.69144714,FALSE,TRUE,FALSE
pdxA,0.225252525,17.73567117,FALSE,TRUE,FALSE
surA,0.201243201,15.56712129,FALSE,TRUE,FALSE
lptD,0.007218684,-17.94579327,TRUE,FALSE,FALSE
djlA,0.285539216,22.8775473,FALSE,TRUE,FALSE
yabP,0.526641884,41.21660262,FALSE,TRUE,FALSE
rluA,0.266666667,21.30667237,FALSE,TRUE,FALSE
rapA,0.243550052,19.33676516,FALSE,TRUE,FALSE
polB,0.209608844,16.33235922,FALSE,TRUE,FALSE
araD,0.215339233,16.85040464,FALSE,TRUE,FALSE
araC,0.184300341,13.98117905,FALSE,TRUE,FALSE
yabI,0.197385621,15.2104577,FALSE,TRUE,FALSE
thiQ,0.221745351,17.42400206,FALSE,TRUE,FALSE
thiP,0.238981999,18.94077517,FALSE,TRUE,FALSE
thiB,0.18800813,14.33269319,FALSE,TRUE,FALSE
sgrR,0.208937198,16.27132169,FALSE,TRUE,FALSE
sgrT,0.272727273,21.81453135,FALSE,TRUE,FALSE
setA,0.259541985,20.70526501,FALSE,TRUE,FALSE
leuD,0.198019802,15.26926366,FALSE,TRUE,FALSE
leuC,0.187723055,14.30575948,FALSE,TRUE,FALSE
leuB,0.227106227,17.89975154,FALSE,TRUE,FALSE
leuA,0.244910941,19.45428238,FALSE,TRUE,FALSE
leuL,0.701149425,53.45259283,FALSE,TRUE,FALSE
leuO,0.592592593,45.90587178,FALSE,TRUE,FALSE
ilvI,0.275362319,22.03431198,FALSE,TRUE,FALSE
ilvH,0.221544715,17.40612276,FALSE,TRUE,FALSE
cra,0.220895522,17.34823391,FALSE,TRUE,FALSE
mraZ,0.128540305,8.292852868,FALSE,TRUE,FALSE
rsmH,0.102972399,5.310416428,FALSE,TRUE,FALSE
ftsL,0.040983607,-4.457809192,TRUE,FALSE,FALSE
ftsI,0.007923033,-17.28819005,TRUE,FALSE,FALSE
murE,0.004032258,-21.98681522,TRUE,FALSE,FALSE
murF,0.006622517,-18.55131361,TRUE,FALSE,FALSE
mraY,0.005540166,-19.7959005,TRUE,FALSE,FALSE
murD,0.006074412,-19.15526311,TRUE,FALSE,FALSE
ftsW,0.018473896,-11.06277524,TRUE,FALSE,FALSE
murG,0.003745318,-22.49213431,TRUE,FALSE,FALSE
murC,0.005420054,-19.94800949,TRUE,FALSE,FALSE
ddlB,0.112920738,6.510100726,FALSE,TRUE,FALSE
ftsQ,0.018050542,-11.24122024,TRUE,FALSE,FALSE
ftsA,0.006334125,-18.86292727,TRUE,FALSE,FALSE
ftsZ,0.001736111,-27.69714975,TRUE,FALSE,FALSE
lpxC,0.013071895,-13.67100273,TRUE,FALSE,FALSE
secM,0.087719298,3.34589178,FALSE,FALSE,TRUE
secA,0.015151515,-12.57114779,TRUE,FALSE,FALSE
mutT,0.197435897,15.21512215,FALSE,TRUE,FALSE
yacG,0.166666667,12.27079006,FALSE,TRUE,FALSE
zapD,0.198924731,15.35305801,FALSE,TRUE,FALSE
coaE,0.020933977,-10.09000813,TRUE,FALSE,FALSE
guaC,0.204022989,15.82262213,FALSE,TRUE,FALSE
hofC,0.232751455,18.39675364,FALSE,TRUE,FALSE
hofB,0.211399711,16.49477798,FALSE,TRUE,FALSE
ppdD,0.25170068,20.03759117,FALSE,TRUE,FALSE
nadC,0.1901566,14.53519328,FALSE,TRUE,FALSE
ampD,0.251811594,20.04707915,FALSE,TRUE,FALSE
ampE,0.25380117,20.21705769,FALSE,TRUE,FALSE
aroP,0.254002911,20.23427054,FALSE,TRUE,FALSE
pdhR,0.122875817,7.65900448,FALSE,TRUE,FALSE
aceE,0.054054054,-1.852054332,FALSE,FALSE,TRUE
aceF,0.04437401,-3.731100261,TRUE,FALSE,FALSE
lpd,0.008421053,-16.855423,TRUE,FALSE,FALSE
yacH,0.236245955,18.70244465,FALSE,TRUE,FALSE
acnB,0.08891455,3.506257946,FALSE,FALSE,TRUE
yacL,0.256198347,20.42132006,FALSE,TRUE,FALSE
speD,0.233962264,18.50283906,FALSE,TRUE,FALSE
speE,0.219146482,17.19198593,FALSE,TRUE,FALSE
yacC,0.16954023,12.55417998,FALSE,TRUE,FALSE
cueO,0.205673759,15.97376732,FALSE,TRUE,FALSE
gcd,0.219991635,17.26753866,FALSE,TRUE,FALSE
hpt,0.195530726,15.03806453,FALSE,TRUE,FALSE
can,0.010558069,-15.23276688,TRUE,FALSE,FALSE
yadG,0.153182309,10.91351195,FALSE,TRUE,FALSE
yadH,0.228274968,18.00297563,FALSE,TRUE,FALSE
yadI,0.233560091,18.46762228,FALSE,TRUE,FALSE
yadE,0.217073171,17.00622332,FALSE,TRUE,FALSE
panD,0.181102362,13.67585019,FALSE,TRUE,FALSE
yadD,0.205980066,16.00176584,FALSE,TRUE,FALSE
panC,0.172535211,12.84752234,FALSE,TRUE,FALSE
panB,0.222641509,17.50379551,FALSE,TRUE,FALSE
yadC,0.469733656,37.08728933,FALSE,TRUE,FALSE
yadK,0.427135678,33.93373009,FALSE,TRUE,FALSE
yadL,0.524752475,41.08084549,FALSE,TRUE,FALSE
yadM,0.477192982,37.63361126,FALSE,TRUE,FALSE
htrE,0.548883757,42.80847694,FALSE,TRUE,FALSE
yadV,0.464237517,36.68368697,FALSE,TRUE,FALSE
yadN,0.567521368,44.13398353,FALSE,TRUE,FALSE
folK,0.079166667,2.160389125,FALSE,FALSE,TRUE
pcnB,0.138054363,9.329074711,FALSE,TRUE,FALSE
gluQ,0.20819849,16.20411078,FALSE,TRUE,FALSE
dksA,0.149122807,10.49524412,FALSE,TRUE,FALSE
sfsA,0.218439716,17.12872885,FALSE,TRUE,FALSE
ligT,0.186440678,14.18441198,FALSE,TRUE,FALSE
hrpB,0.201234568,15.56632585,FALSE,TRUE,FALSE
mrcB,0.203944773,15.81544995,FALSE,TRUE,FALSE
fhuA,0.235294118,18.61932533,FALSE,TRUE,FALSE
fhuC,0.211779449,16.52915621,FALSE,TRUE,FALSE
fhuD,0.237934905,18.84966872,FALSE,TRUE,FALSE
