septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.4986,1.174,1.0567,60,24,30,30,4.3096,2.5425,28,1.7671,0.637,1010038,1010052
0.5149,1.4066,0.9751,66,16,40,26,4.8236,2.1489,32,2.6747,0.6088,1010052,1010068
0.4931,1.2272,1.0745,62,28,28,34,4.4897,2.4836,30,2.0061,0.6932,1010068,1010083
0.4878,1.3165,1.1385,66,30,30,36,4.8042,2.2138,34,2.5904,0.6676,1010083,1010100
0.5429,1.2937,1.1069,62,30,34,28,4.4446,2.3436,28,2.101,0.6684,1010100,1010114
0.5191,1.3186,1.1701,64,28,30,34,5.0085,3.38,18,1.6285,0.6583,1024111,1024120
0.506,1.471,1.1701,62,28,20,42,5.4091,2.6,30,2.8091,0.6541,1024120,1024135
0.5252,1.3856,0.9918,68,8,22,46,5.1116,2.737,28,2.3746,0.6305,1024135,1024149
0.5263,1.437,0.8951,70,14,34,36,4.9417,2.6847,26,2.257,0.6337,1024149,1024162
0.5071,1.4289,0.9755,70,14,24,46,5.4081,2.8784,26,2.5297,0.7163,1032036,1032049
0.5027,1.465,0.8777,78,6,40,38,6.1444,2.7424,32,3.402,0.6989,1032049,1032065
0.536,1.4256,1.2052,62,22,22,40,5.7456,3.0887,26,2.6569,0.684,1032065,1032078
0.5151,1.332,1.1728,62,22,28,34,5.4976,3.0798,26,2.4178,0.6712,1032078,1032091
0.5093,1.2442,1.2215,64,-6,34,30,5.4567,2.8318,32,2.6249,0.6541,1032091,1032107
0.5308,1.3612,1.4159,60,26,36,24,5.4101,2.7791,28,2.631,0.6673,1032107,1032121
0.5076,1.3346,1.1394,68,24,32,36,5.8138,2.8718,32,2.942,0.6624,1032121,1032137
0.5207,1.3071,1.027,68,18,26,42,5.1556,2.9509,26,2.2047,0.6705,1032137,1032150
0.5232,1.2531,0.9946,74,16,38,36,5.468,2.6847,32,2.7833,0.6894,1032150,1032166
0.5144,1.4253,1.255,62,14,28,34,5.8121,3.5154,22,2.2967,0.7032,1076033,1076044
0.5174,1.3009,1.0892,68,6,30,38,5.6587,2.99,28,2.6687,0.6981,1076044,1076058
0.5057,1.3428,1.1385,66,12,24,42,5.661,2.9279,28,2.7331,0.6855,1076058,1076072
0.5119,1.4072,1.0405,68,16,22,46,5.4662,2.863,28,2.6032,0.6853,1076072,1076086
0.48,1.2897,0.9593,70,12,32,38,4.875,2.798,26,2.077,0.6749,1076086,1076099
0.4876,1.3754,1.1701,68,22,32,36,5.4676,2.34,36,3.1276,0.6794,1076099,1076117
0.489,1.4111,1.0726,68,20,32,36,5.343,2.6008,30,2.7422,0.706,1083041,1083056
0.4844,1.4334,1.2675,62,24,26,36,5.4271,2.613,30,2.8141,0.7701,1083056,1083071
0.5065,1.4073,1.1867,60,26,34,26,5.0067,2.6291,26,2.3776,0.7482,1083071,1083084
0.5297,1.4313,1.138,66,24,18,48,5.5347,2.5358,34,2.9989,0.7381,1083084,1083101
0.506,1.3658,0.96,74,16,34,40,5.9221,2.9315,30,2.9906,0.7336,1083101,1083116
0.5063,1.3487,1.0726,64,24,24,40,5.1366,2.9964,24,2.1403,0.7001,1083116,1083128
0.4775,1.3284,1.0567,70,18,20,50,5.9916,2.6008,34,3.3907,0.7021,1083128,1083145
0.5219,1.2819,0.9751,80,12,38,42,5.9834,2.8607,34,3.1227,0.7177,1083145,1083162
0.4991,1.5671,1.1863,54,26,24,30,4.6881,2.5383,24,2.1498,0.6427,1097043,1097055
0.4953,1.47,1.2035,52,22,28,24,4.3804,2.34,26,2.0404,0.6178,1097055,1097068
0.4982,1.3028,1.2712,66,34,28,38,5.4793,2.4709,36,3.0084,0.664,1097100,1097118
0.4662,1.4744,1.2354,68,30,26,42,6.1483,2.73,32,3.4183,0.731,1097118,1097134
0.4871,1.4448,1.0889,66,28,32,34,5.4729,2.8666,26,2.6062,0.7229,1097134,1097147
0.4624,1.4467,1.2029,62,24,20,42,5.2008,2.6658,28,2.535,0.7235,1097147,1097161
0.5062,1.565,0.9593,62,20,30,32,4.6242,2.4709,24,2.1534,0.6458,1105042,1105054
0.5007,1.419,1.042,64,24,28,36,5.2332,2.3409,34,2.8923,0.6321,1105054,1105071
0.4751,1.4401,0.7815,76,14,40,36,5.3376,2.6008,30,2.7368,0.6647,1105114,1105129
0.5255,1.5214,1.17,60,26,28,32,4.9489,2.5358,26,2.4131,0.6134,1105129,1105142
0.4884,1.3384,1.1556,66,24,26,40,5.596,2.6008,34,2.9952,0.6772,1105142,1105159
0.5889,1.5563,1.0432,58,16,34,24,4.7668,2.4477,26,2.3191,0.6809,1119025,1119038
0.5014,1.348,1.2238,54,24,30,24,4.9536,2.8071,28,2.1466,0.6648,1119038,1119052
0.5002,1.617,1.4035,60,26,36,24,5.9835,2.4836,32,3.4999,0.6757,1119052,1119068
0.4947,1.3579,1.1069,66,24,32,34,4.8899,2.21,34,2.6799,0.6268,1119130,1119147
0.5125,1.4537,1.105,66,26,22,44,5.2016,2.419,32,2.7826,0.6656,1119147,1119163
0.5128,1.4653,1.1375,60,24,28,32,5.0717,2.7036,26,2.3681,0.6198,1141076,1141089
0.4985,1.4568,1.0888,64,22,24,40,5.3529,2.6008,30,2.7521,0.6094,1141089,1141104
0.5118,1.4929,1.1867,72,26,34,38,6.4125,3.185,28,3.2275,0.6576,1156093,1156107
0.5149,1.4684,1.4152,66,32,24,42,6.7482,3.2817,30,3.4665,0.6703,1156107,1156122
0.5002,1.4694,1.108,66,14,28,38,5.8536,3.4749,22,2.3787,0.6708,1156122,1156133
0.5126,1.4324,1.2029,64,16,28,36,5.741,2.9279,28,2.8131,0.65,1156133,1156147
0.5216,1.3748,1.3491,66,18,20,46,6.3859,2.943,34,3.4429,0.6487,1156147,1156164
0.5055,1.4936,1.0405,66,20,34,32,5.4146,2.6658,28,2.7488,0.6763,1170032,1170046
0.5125,1.4074,1.0736,66,20,26,40,5.5068,2.737,30,2.7699,0.6801,1170046,1170061
0.5103,1.4089,1.0405,68,18,26,42,5.4828,2.8221,28,2.6607,0.6763,1170061,1170075
0.483,1.5482,1.0736,66,20,26,40,5.7886,2.798,28,2.9906,0.6659,1170075,1170089
0.4935,1.4211,1.0564,62,18,22,40,5.0067,2.7958,24,2.2109,0.6605,1170089,1170101
0.518,1.2928,1.2197,62,22,34,28,5.019,2.4709,32,2.5482,0.6503,1170101,1170117
0.5155,1.438,1.1701,72,22,24,48,6.4414,2.6,38,3.8414,0.6722,1170117,1170136
0.4815,1.4422,0.9913,68,24,30,38,5.6761,3.3207,22,2.3554,0.6573,1170136,1170147
0.5058,1.4209,0.8287,78,12,34,44,5.5258,2.7331,30,2.7927,0.6694,1170147,1170162
0.4803,1.4,1.2522,60,34,24,36,5.4146,2.6008,32,2.8138,0.6568,1178086,1178102
0.551,1.4435,1.3004,60,26,26,34,5.0851,2.6008,28,2.4843,0.656,1178102,1178116
