b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0035,stimulator of CaiD and CaiB enzyme activities,COG0663,general function prediction only,R,poorly characterized
b0046,"Kef-type potassium/proton antiporter accessory protein, CPA2 family (TC 2.A.37.1)",COG2249,general function prediction only,R,poorly characterized
b0092,D-alanine--D-alanine ligase (EC 6.3.2.4),COG1181,general function prediction only,R,poorly characterized
b0164,phosphodiesterase with model substrate bis-pNPP,COG1408,general function prediction only,R,poorly characterized
b0209,conserved protein,COG3021,general function prediction only,R,poorly characterized
b0212,hydroxyacylglutathione hydrolase,COG0491,general function prediction only,R,poorly characterized
b0219,"predicted C-N hydrolase family amidase, NAD(P)-binding",COG0388,general function prediction only,R,poorly characterized
b0223,predicted amidotransfease,COG0121,general function prediction only,R,poorly characterized
b0253,CP4-6 prophage; predicted GTP-binding protein,COG3596,general function prediction only,R,poorly characterized
b0288,predicted ferredoxin,COG0727,general function prediction only,R,poorly characterized
b0311,choline dehydrogenase (EC 1.1.99.1),COG2303,general function prediction only,R,poorly characterized
b0324,predicted deaminase with metallo-dependent hydrolase domain,COG0402,general function prediction only,R,poorly characterized
b0337,cytosine deaminase,COG0402,general function prediction only,R,poorly characterized
b0342,thiogalactoside acetyltransferase,COG0110,general function prediction only,R,poorly characterized
b0349,"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase (EC 3.7.1.-)",COG0596,general function prediction only,R,poorly characterized
b0356,alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase,COG1062,general function prediction only,R,poorly characterized
b0381,D-alanine--D-alanine ligase (EC 6.3.2.4),COG1181,general function prediction only,R,poorly characterized
b0383,alkaline phosphatase (EC 3.1.3.1),COG1785,general function prediction only,R,poorly characterized
b0419,"2-carboxybenzaldehyde reductase, function unknown",COG0667,general function prediction only,R,poorly characterized
b0424,"conserved protein, PfpI/HchA protease/chaperone family",COG0693,general function prediction only,R,poorly characterized
b0446,thiamin pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase,COG0561,general function prediction only,R,poorly characterized
b0459,maltose O-acetyltransferase,COG0110,general function prediction only,R,poorly characterized
b0471,conserved protein,COG0718,general function prediction only,R,poorly characterized
b0493,predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain,COG0300,general function prediction only,R,poorly characterized
b0497,rhsD element protein,COG3209,general function prediction only,R,poorly characterized
b0527,"inner membrane protein, DUF457 family",COG1988,general function prediction only,R,poorly characterized
b0545,"phospholipid-binding protein, PBP family",COG1881,general function prediction only,R,poorly characterized
b0596,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",COG1028,general function prediction only,R,poorly characterized
b0602,conserved protein,COG3969,general function prediction only,R,poorly characterized
b0608,glutathione-independent formaldehyde dehydrogenase,COG1063,general function prediction only,R,poorly characterized
b0686,acyl-CoA esterase in vitro,COG0596,general function prediction only,R,poorly characterized
b0700,rhsC element core protein RshC,COG3209,general function prediction only,R,poorly characterized
b0713,"conserved protein, UPF0271 family",COG1540,general function prediction only,R,poorly characterized
b0715,regulator of aidB expression; inner membrane protein,COG3180,general function prediction only,R,poorly characterized
b0742,periplasmic TolA-binding protein,COG1729,general function prediction only,R,poorly characterized
b0766,pyridoxal phosphate (PLP) phosphatase,COG0561,general function prediction only,R,poorly characterized
b0773,"phospholipid-binding protein, PBP family",COG1881,general function prediction only,R,poorly characterized
b0786,"inner membrane protein, UPF0005 family",COG0670,general function prediction only,R,poorly characterized
b0787,"inner membrane protein, UPF0005 family",COG0670,general function prediction only,R,poorly characterized
b0790,"conserved protein, endo/exonuclease/phosphatase family PFAM PF03372",COG3568,general function prediction only,R,poorly characterized
b0804,"conserved protein, Fe(II)-dependent oxygenase superfamily",COG3128,general function prediction only,R,poorly characterized
b0820,fused predicted transporter subunits of ABC superfamily: ATP-binding components,COG0488,general function prediction only,R,poorly characterized
b0822,"sugar phosphatase; preference for fructose-1-P, ribose-5-P and glucose-6-P",COG0561,general function prediction only,R,poorly characterized
b0844,FMN and erythrose-4-P phosphatase,COG0561,general function prediction only,R,poorly characterized
b0847,predicted transporter,COG2985,general function prediction only,R,poorly characterized
b0869,conserved protein with NAD(P)-binding Rossmann-fold domain,COG0702,general function prediction only,R,poorly characterized
b0897,"predicted hydrolase, isochorismatase family",COG1335,general function prediction only,R,poorly characterized
b0901,conserved protein,COG2249,general function prediction only,R,poorly characterized
b0913,"inner membrane protein, ComEC family of competence proteins",COG2333,general function prediction only,R,poorly characterized
b0916,conserved protein,COG3214,general function prediction only,R,poorly characterized
b0920,"conserved protein, DUF218 superfamily",COG1434,general function prediction only,R,poorly characterized
b0927,predicted metal-binding enzyme,COG0491,general function prediction only,R,poorly characterized
b0935,alkanesulfonate monooxygenase (EC 1.14.14.5),COG2141,general function prediction only,R,poorly characterized
b0947,predicted 2Fe-2S cluster-containing protein; 6-N-hydroxylaminopurine resistance protein,COG3217,general function prediction only,R,poorly characterized
b0949,fused predicted transporter subunits of ABC superfamily: ATP-binding components,COG0488,general function prediction only,R,poorly characterized
b0965,predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain,COG1832,general function prediction only,R,poorly characterized
b0970,"HflBKC-binding inner membrane protein, UPF0005 family",COG0670,general function prediction only,R,poorly characterized
b1009,predicted hydrolase,COG0596,general function prediction only,R,poorly characterized
b1011,"predicted enzyme, isochorismatase homolog",COG1335,general function prediction only,R,poorly characterized
b1012,predicted monooxygenase,COG2141,general function prediction only,R,poorly characterized
b1033,glyoxylate/hydroxypyruvate reductase A,COG0111,general function prediction only,R,poorly characterized
b1034,predicted zinc-binding hydrolase,COG1387,general function prediction only,R,poorly characterized
b1055,predicted rhodanese-related sulfurtransferase,COG1054,general function prediction only,R,poorly characterized
b1056,secreted protein,COG2353,general function prediction only,R,poorly characterized
b1068,predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain,COG0673,general function prediction only,R,poorly characterized
b1093,3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100),COG1028,general function prediction only,R,poorly characterized
b1103,purine nucleoside phosphoramidase,COG0537,general function prediction only,R,poorly characterized
b1108,conserved protein,COG3150,general function prediction only,R,poorly characterized
b1195,predicted inner membrane protein,COG2261,general function prediction only,R,poorly characterized
b1234,"conserved protein, patatin-like family",COG1752,general function prediction only,R,poorly characterized
b1251,predicted enzyme,COG2350,general function prediction only,R,poorly characterized
b1266,conserved protein,COG0613,general function prediction only,R,poorly characterized
b1271,"predicted oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system",COG1028,general function prediction only,R,poorly characterized
b1313,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",COG1063,general function prediction only,R,poorly characterized
b1315,"predicted oxidoreductase, NADH-binding",COG0673,general function prediction only,R,poorly characterized
b1317,beta-phosphoglucomutase,COG0637,general function prediction only,R,poorly characterized
b1321,conserved protein with nucleoside triphosphate hydrolase domain,COG3106,general function prediction only,R,poorly characterized
b1325,L-Ala-D/L-Glu epimerase,COG4948,general function prediction only,R,poorly characterized
b1337,"p-Aminobenzoyl-glutamate hydrolase, B subunit",COG1473,general function prediction only,R,poorly characterized
b1338,"p-aminobenzoyl-glutamate hydrolase, A subunit",COG1473,general function prediction only,R,poorly characterized
b4529,"predicted lipoprotein, DUF333 family",COG3042,general function prediction only,R,poorly characterized
b1380,"fermentative D-lactate dehydrogenase, NAD-dependent",COG1052,general function prediction only,R,poorly characterized
