gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,
thra,b0002,[e],89.119,820,glucose_minimal,2678.864971,0.21,,,
thrb,b0003,[e],33.623,310,glucose_minimal,483.0550422,0.21,,,
thrc,b0004,[e],47.113,428,glucose_minimal,4480.056558,0.21,,,
yaaa,b0006,[s],29.585,258,glucose_minimal,177.4009533,0.21,,,
talb,b0008,[g],35.219,317,glucose_minimal,15678.37039,0.21,,,
mog,b0009,[h],21.222,195,glucose_minimal,,0.21,,,
dnak,b0014,[o],69.114,638,glucose_minimal,12514.46507,0.21,,,
dnaj,b0015,[o],41.1,376,glucose_minimal,528.8076183,0.21,,,
rpst,b0023,[j],9.6843,87,glucose_minimal,12378.26564,0.21,,,
ribf,b0025,[h],34.734,313,glucose_minimal,,0.21,,,
iles,b0026,[j],104.3,938,glucose_minimal,1788.00911,0.21,,,
fkpb,b0028,[o],16.081,149,glucose_minimal,464.4288436,0.21,,,
isph,b0029,[im],34.774,316,glucose_minimal,154.0065352,0.21,,,
rihc,b0030,[f],32.56,304,glucose_minimal,,0.21,,,
dapb,b0031,[e],28.756,273,glucose_minimal,573.5646113,0.21,,,
cara,b0032,[ef],41.431,382,glucose_minimal,1058.498093,0.21,,,
carb,b0033,[ef],117.84,1073,glucose_minimal,1251.894905,0.21,,,
fola,b0048,[h],17.999,159,glucose_minimal,,0.21,,,
apah,b0049,[t],31.296,280,glucose_minimal,,0.21,,,
rsma,b0051,,30.42,273,glucose_minimal,141.4333274,0.21,,,
sura,b0053,[o],47.283,428,glucose_minimal,1338.31416,0.21,,,
lptd,b0054,,89.67,784,glucose_minimal,297.0156636,0.21,,,
rapa,b0059,,109.77,968,glucose_minimal,53.11242173,0.21,,,
thib,b0068,,36.163,327,glucose_minimal,383.8835579,0.21,,,
leud,b0071,[e],22.487,201,glucose_minimal,6811.823677,0.21,,,
leuc,b0072,[e],49.881,466,glucose_minimal,4922.803331,0.21,,,
leub,b0073,,39.517,363,glucose_minimal,4665.919008,0.21,,,
leua,b0074,[e],57.297,523,glucose_minimal,5542.021412,0.21,,,
ilvi,b0077,,62.984,574,glucose_minimal,520.6696462,0.21,,,
ilvh,b0078,[e],17.977,163,glucose_minimal,1235.160011,0.21,,,
cra,b0080,,37.999,334,glucose_minimal,154.5830324,0.21,,,
rsmh,b0082,,34.877,313,glucose_minimal,157.1578529,0.21,,,
mure,b0085,[m],53.343,495,glucose_minimal,84.30096383,0.21,,,
murf,b0086,[m],47.447,452,glucose_minimal,30.72915851,0.21,,,
murd,b0088,[m],46.973,438,glucose_minimal,155.7817686,0.21,,,
murg,b0090,[m],37.814,355,glucose_minimal,42.9748598,0.21,,,
murc,b0091,[m],53.625,491,glucose_minimal,45.47376623,0.21,,,
