,gene_name,b_number,condition,reported_tot_per_cell,reported_fg_per_cell,cog_class,cog_category,cog_letter,gene_product,growth_rate_hr,go_terms,corrected_volume,tot_per_cell,fg_per_cell,dataset,dataset_name,strain
0,aaer,b3243,glucose_minimal,21.0,0.0012032277599999996,information storage and processing,transcription,K,LysR-type transcriptional regulator AaeR,0.11,GO:0045893; GO:0005829; GO:0003700; GO:0006352; GO:0006355; GO:0003677; GO:0006351,0.32411215171614943,29.48076044986724,0.001689146159961445,valgepea_2013,Valgepea et al. 2013,MG1655
0,acca,b0185,glucose_minimal,1524.0,0.08915662128,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &alpha;,0.11,GO:0016743; GO:0016740; GO:0042802; GO:0009317; GO:0006631; GO:0006629; GO:2001295; GO:0042759; GO:0005737; GO:0005829; GO:0005524; GO:0000166; GO:0009329; GO:0016874; GO:0006633; GO:0005515; GO:0003989,0.32411215171614943,2139.460901218937,0.1251621425940579,valgepea_2013,Valgepea et al. 2013,MG1655
0,acca,b0185,glucose_minimal,1903.0,0.11132877315999999,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &alpha;,0.21,GO:0016743; GO:0016740; GO:0042802; GO:0009317; GO:0006631; GO:0006629; GO:2001295; GO:0042759; GO:0005737; GO:0005829; GO:0005524; GO:0000166; GO:0009329; GO:0016874; GO:0006633; GO:0005515; GO:0003989,0.37021710475679415,2311.1450308271924,0.13520595947284378,valgepea_2013,Valgepea et al. 2013,MG1655
0,acca,b0185,glucose_minimal,2155.0,0.12607120659999999,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &alpha;,0.31,GO:0016743; GO:0016740; GO:0042802; GO:0009317; GO:0006631; GO:0006629; GO:2001295; GO:0042759; GO:0005737; GO:0005829; GO:0005524; GO:0000166; GO:0009329; GO:0016874; GO:0006633; GO:0005515; GO:0003989,0.42288048729051664,2220.7637297359697,0.12991849790316937,valgepea_2013,Valgepea et al. 2013,MG1655
0,acca,b0185,glucose_minimal,2385.0,0.1395266022,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &alpha;,0.4,GO:0016743; GO:0016740; GO:0042802; GO:0009317; GO:0006631; GO:0006629; GO:2001295; GO:0042759; GO:0005737; GO:0005829; GO:0005524; GO:0000166; GO:0009329; GO:0016874; GO:0006633; GO:0005515; GO:0003989,0.4766534005426988,2371.6129484990793,0.13874343666146757,valgepea_2013,Valgepea et al. 2013,MG1655
0,acca,b0185,glucose_minimal,3066.0,0.17936627351999998,metabolism,lipid transport and metabolism,I,acetyl-CoA carboxyltransferase subunit &alpha;,0.49,GO:0016743; GO:0016740; GO:0042802; GO:0009317; GO:0006631; GO:0006629; GO:2001295; GO:0042759; GO:0005737; GO:0005829; GO:0005524; GO:0000166; GO:0009329; GO:0016874; GO:0006633; GO:0005515; GO:0003989,0.5372640050256902,2991.9386895389234,0.175033559472573,valgepea_2013,Valgepea et al. 2013,MG1655
0,accb,b3255,glucose_minimal,1819.0,0.050387063979999994,metabolism,coenzyme transport and metabolism,H,biotin carboxyl carrier protein,0.11,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,0.32411215171614943,2553.5953932527864,0.07073566490316734,valgepea_2013,Valgepea et al. 2013,MG1655
0,accb,b3255,glucose_minimal,2518.0,0.06974965756,metabolism,coenzyme transport and metabolism,H,biotin carboxyl carrier protein,0.21,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,0.37021710475679415,3058.046866853847,0.08470918259153565,valgepea_2013,Valgepea et al. 2013,MG1655
0,accb,b3255,glucose_minimal,2750.0,0.076176155,metabolism,coenzyme transport and metabolism,H,biotin carboxyl carrier protein,0.31,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,0.42288048729051664,2833.9212328417248,0.07850080839663358,valgepea_2013,Valgepea et al. 2013,MG1655
0,accb,b3255,glucose_minimal,11012.0,0.30503702503999996,metabolism,coenzyme transport and metabolism,H,biotin carboxyl carrier protein,0.4,GO:0009305; GO:0005829; GO:0005515; GO:0006631; GO:0006629; GO:0009317; GO:0005737; GO:0006633; GO:0003989,0.4766534005426988,10950.189429296379,0.30332484627107,valgepea_2013,Valgepea et al. 2013,MG1655
